feature,importance_fold_0,importance_fold_1,importance_fold_2,importance_fold_3,importance_fold_4,importance_mean,importance_std
accelerometer_Y_max,26528.379789311526,25460.36831942218,17293.39416713353,23720.53345875641,12139.889063439568,21028.512959612643,6125.67544447252
accelerometer_Z_min,10715.470486268732,9659.933293879969,16685.765301469142,16632.197830212495,16616.93591165873,14062.060564697813,3556.5154930553294
accelerometer_Y_q25,12667.574367363533,11793.10277991389,12471.432527927518,12432.526971262847,12420.437971129582,12357.014923519473,330.6281954052026
accelerometer_Y_q75,3115.8195763770345,2542.1837806450276,11096.957465500585,4062.951872616913,14590.996064652269,7081.781751958365,5430.471323105503
accelerometer_Z_q75,3686.975686557277,4601.174882383522,5097.158216032508,5353.747711116865,6013.216193944049,4950.454538006845,870.6326400736508
accelerometer_X_min,3370.789568618101,3986.977698929123,3660.0763418043352,4237.5914952727935,3634.9785720074533,3778.0827353263617,337.2971391831799
z_n_valleys,2953.6443089728273,5450.5534552223835,762.8630478263367,1283.0095288799494,40.991497963666916,2098.212367773033,2159.272201149417
accelerometer_X_q25,1289.4799803378287,1220.4766418874015,1801.1695593021905,1668.4364070922898,1802.6040714469034,1556.4333320133228,281.58992006957266
accelerometer_Y_median,1120.7992103459706,1741.9674411528613,1297.501385493125,1144.0302698978212,1333.2996498742068,1327.519591352797,249.55118161163662
accelerometer_Z_max,1063.6158445401888,1337.1038794607393,930.4115024596445,1526.8143332349136,1064.2563273211326,1184.440377403324,241.91915665833022
accelerometer_X_std,1392.2085481131217,509.0828307310486,1143.3699419489344,1144.6974554788758,1156.3864549480363,1069.1490462440033,330.48005858201293
accelerometer_X_max,727.5575053529174,1212.0511429928883,792.8826741550001,799.788436267525,564.7537190350413,819.4066955606744,239.0305807338027
accelerometer_Y_mean,54.35921887360564,1389.602614756503,107.09545855541882,1314.1245942115277,1156.9610056456022,804.4285784085315,666.2160531224265
accelerometer_X_q75,1464.015880054255,405.2827531620361,823.6240011528575,384.7356353852449,617.6906790954511,739.0697897699689,442.8305589501006
accelerometer_Z_q25,1090.7615819368762,844.5361153526319,4.312656071502715,26.387286777433474,1290.5563791309175,651.3108038538724,601.7108770626126
accelerometer_Y_std,543.3479569965712,533.9814781327732,532.0861134384759,571.2119929019973,531.5931019514974,542.444128684263,16.770931940502816
accelerometer_X_iqr,1577.9088559818704,1049.0435993566643,7.2185549242421985,12.714967141044326,38.73473751673009,537.1241429841102,733.0571710429904
accelerometer_Y_min,1619.926981591172,497.21625354705225,532.0617767421732,20.038532876971658,12.926621654553173,536.4340332823846,655.0264198445968
accelerometer_Y_skew,345.6988187935058,451.89772019186057,541.2107120460714,388.0886027003494,505.5803855539998,446.4952478571574,80.71944572245363
magnitude_min,296.04542757528725,513.5271436541275,597.4520937713942,345.31474603967126,308.16897004618124,412.1016762173323,135.4376766595214
z_peak_interval_std,352.564291296781,384.00748271359043,360.1933396222885,365.83482934741187,479.5324689683912,388.4264823896926,52.23365351070927
z_to_mag_std_ratio,334.393398199958,371.74678471536026,371.77051941122045,313.4328230856918,488.42938062848407,375.95458120814294,67.67956597240638
magnitude_range,240.23132033250295,591.1625682444264,245.2736336234084,177.375209875172,486.6641016187059,348.14136673884315,180.02449931990424
accelerometer_Y_iqr,83.19058016320923,1157.9858052567474,71.04285538326076,75.97400507974089,142.94081955878937,306.22681308834956,477.02953450959825
yz_rolling_corr_max,277.6362610860705,283.4420338960663,308.31772961917636,279.88561909802957,284.08276715898137,286.6728821716648,12.383193833380124
accelerometer_Z_median,256.7378239718722,244.39896318351992,134.5215853839004,359.74900496077305,171.55379986253382,233.39223547251987,86.93617676265353
accelerometer_X_mean,711.9251033123619,155.76579504498113,59.91818251555378,133.32218630982976,68.64818543015645,225.9158905225766,274.76715369587095
yz_rolling_corr_min,247.36140883323364,107.64445151360067,127.66107873635713,247.84470185471582,272.5919319960758,200.62071458679662,76.75015890207999
z_n_peaks,140.72125076317752,336.78973841590164,160.21952993145078,124.76448202331085,198.12332251506405,192.12366472978096,85.3838542158386
accelerometer_Z_fft_mean,279.7595047518844,179.16078961640596,172.10280920076184,223.6590917026624,92.22334628365934,189.3811083110748,69.25651583993385
